,name,rating,genre,year,released,score,votes,director,writer,star,budget,gross,company,runtime,released_month,adjusted_budget,adjusted_gross,weekday,actor,bday,nominations,awards_won,star_age
63,History of the World: Part I,R,Comedy,1981,1981-06-12,6.9,47000.0,Other,Other,Other,11000000.0,31672907.0,Other,92.0,6,32790649.0649065,94415925.30022,Friday,Mel Brooks,1926-06-28,0.0,0.0,20073
64,The Howling,R,Horror,1981,1981-04-10,6.6,32000.0,Other,Other,Other,1000000.0,17985893.0,Other,91.0,4,2980968.09680968,53615373.2256326,Friday,Dee Wallace,1948-12-14,0.0,0.0,11805
65,Dragonslayer,PG,Action,1981,1981-06-26,6.7,16000.0,Other,Other,Other,18000000.0,14110013.0,Paramount Pictures,109.0,6,53657425.7425743,42061498.5985699,Friday,Peter MacNicol,1954-04-10,0.0,0.0,9939
66,Cutter's Way,R,Crime,1981,1982-02-10,6.9,5300.0,Other,Other,Jeff Bridges,3000000.0,1752634.0,Other,109.0,2,8942904.29042904,5224546.03938394,Wednesday,Jeff Bridges,1949-12-04,7.0,1.0,11756
67,Quest for Fire,R,Adventure,1981,1982-02-12,7.3,21000.0,Other,Other,Other,12500000.0,20962615.0,Other,100.0,2,37262101.210121,62488886.5407041,Friday,Everett McGill,1945-10-21,0.0,0.0,13263
68,The Final Conflict,R,Horror,1981,1981-03-20,5.6,19000.0,Other,Other,Other,5000000.0,20471382.0,Twentieth Century Fox,108.0,3,14904840.4840484,61024536.639604,Friday,Sam Neill,1947-09-14,0.0,0.0,12241
69,Mommie Dearest,R,Biography,1981,1981-09-25,6.7,15000.0,Other,Other,Other,5000000.0,19032261.0,Paramount Pictures,129.0,9,14904840.4840484,56734562.8511551,Friday,Faye Dunaway,1941-01-14,3.0,1.0,14864
70,Private Lessons,R,Comedy,1981,1981-06-10,5.2,3400.0,Other,Other,Other,2800000.0,26279000.0,Other,87.0,6,8346710.67106711,78336860.6160616,Wednesday,Sylvia Kristel,1952-09-28,0.0,0.0,10482
71,The Postman Always Rings Twice,R,Crime,1981,1981-03-20,6.6,22000.0,Other,David Mamet,Other,12000000.0,12376625.0,Other,122.0,3,35771617.1617162,36894324.2711771,Friday,Jack Nicholson,1937-04-22,12.0,3.0,16038
72,Deadly Blessing,R,Horror,1981,1981-08-14,5.6,5200.0,Wes Craven,Other,Other,2500000.0,8279042.0,Other,100.0,8,7452420.2420242,24679560.0741474,Friday,Maren Jensen,1956-09-23,0.0,0.0,9091
73,Eyewitness,R,Crime,1981,1981-02-13,6.0,4500.0,Other,Other,Other,8500000.0,6400000.0,Twentieth Century Fox,103.0,2,25338228.8228823,19078195.819582,Friday,William Hurt,1950-03-20,4.0,1.0,11288
74,Outland,R,Action,1981,1981-05-22,6.6,28000.0,Other,Other,Other,16000000.0,17374595.0,Other,109.0,5,47695489.5489549,51793113.389989,Friday,Sean Connery,1930-08-25,1.0,1.0,18533
75,S.O.B.,R,Comedy,1981,1981-07-01,6.4,5700.0,Other,Other,Other,12000000.0,14867086.0,Other,122.0,7,35771617.1617162,44318309.0585259,Wednesday,Julie Andrews,1935-10-01,3.0,1.0,16710
76,The Beyond,R,Horror,1981,1983-11-11,6.8,21000.0,Other,Other,Other,400000.0,123843.0,Other,87.0,11,1192387.23872387,369172.032013201,Friday,Catriona MacColl,1954-10-03,0.0,0.0,10631
77,One from the Heart,R,Drama,1981,1982-02-11,6.5,5700.0,Other,Other,Other,26000000.0,636796.0,Other,107.0,2,77505170.5170517,1898268.56017602,Thursday,Frederic Forrest,1936-12-23,1.0,0.0,16486
78,True Confessions,R,Crime,1981,1981-09-25,6.3,7500.0,Other,Other,Robert De Niro,10000000.0,12850276.0,Other,108.0,9,29809680.9680968,38306262.7911991,Friday,Robert De Niro,1943-08-17,7.0,2.0,13919
79,Nighthawks,R,Action,1981,1981-04-10,6.4,18000.0,Other,Other,Sylvester Stallone,5000000.0,19905359.0,Universal Pictures,99.0,4,14904840.4840484,59337240.1345435,Friday,Sylvester Stallone,1946-07-06,2.0,0.0,12697
80,Neighbors,R,Comedy,1981,1981-12-18,5.6,7600.0,Other,Other,Other,8500000.0,29916207.0,Columbia Pictures,94.0,12,25338228.8228823,89179258.6445545,Friday,John Belushi,1949-01-24,0.0,0.0,12016
